fusion,classifier,fold,accuracy,f1_macro,auc_macro
BulkFormer,LogReg,0,0.975,0.9749098359882673,0.9967262790645876
CpGPT,LogReg,0,0.875,0.87588349959867,0.9817735834035913
EarlyFusion,LogReg,0,0.975,0.9751700006601967,0.9969204808167887
LateFusion_Avg,LogReg,0,0.9625,0.9629290366804241,0.9974131122337458
LateFusion_Learned,LogReg,0,0.9875,0.9872727272727273,0.9968276561625605
BulkFormer,SVM,0,0.98125,0.981205995262599,0.9956288619878565
CpGPT,SVM,0,0.90625,0.9061955143430892,0.9852595834528278
EarlyFusion,SVM,0,0.9875,0.987528883607315,0.9970568669835492
LateFusion_Avg,SVM,0,0.98125,0.9813428401663695,0.9983063497072401
LateFusion_Learned,SVM,0,0.98125,0.9812934296525627,0.9968233799406881
BulkFormer,XGBoost,0,0.975,0.9750587462851614,0.9955773741450621
CpGPT,XGBoost,0,0.8125,0.8121599567945733,0.9609097636722671
EarlyFusion,XGBoost,0,0.96875,0.9686340529477784,0.9957387915295745
LateFusion_Avg,XGBoost,0,0.95625,0.9563072904267873,0.9944241930036641
LateFusion_Learned,XGBoost,0,0.96875,0.9688899151163302,0.9923972771576857
BulkFormer,LogReg,1,0.99375,0.9938250428816467,0.9934094495498004
CpGPT,LogReg,1,0.8625,0.8620064810993021,0.9795693975125764
EarlyFusion,LogReg,1,0.9875,0.987535734705546,0.9933166248955723
LateFusion_Avg,LogReg,1,0.975,0.9751900556932003,0.9928974885442546
LateFusion_Learned,LogReg,1,0.99375,0.9938250428816467,0.9936415111853707
BulkFormer,SVM,1,0.9875,0.9877583108715183,0.9943841084191961
CpGPT,SVM,1,0.88125,0.8817090303585017,0.9770124432994294
EarlyFusion,SVM,1,0.99375,0.9938250428816467,0.9928989139515455
LateFusion_Avg,SVM,1,0.98125,0.9817941079112876,0.9936415111853707
LateFusion_Learned,SVM,1,0.9875,0.9877583108715183,0.9950338809987932
BulkFormer,XGBoost,1,0.98125,0.9813628951993731,0.9921520404958478
CpGPT,XGBoost,1,0.78125,0.7813234105457166,0.9660271490266253
EarlyFusion,XGBoost,1,0.96875,0.9684725965858041,0.9938721474136504
LateFusion_Avg,XGBoost,1,0.98125,0.9813628951993731,0.994613319240185
LateFusion_Learned,XGBoost,1,0.98125,0.9813628951993731,0.9931281247725342
BulkFormer,LogReg,2,0.99375,0.9938250428816465,1.0
CpGPT,LogReg,2,0.8375,0.8363164101324619,0.9741960649593538
EarlyFusion,LogReg,2,0.9875,0.9874169040835707,0.999905749938481
LateFusion_Avg,LogReg,2,0.975,0.9749436700787052,0.9998129252842528
LateFusion_Learned,LogReg,2,0.99375,0.9938250428816465,1.0
BulkFormer,SVM,2,0.99375,0.9937106918238993,1.0
CpGPT,SVM,2,0.825,0.8243534888150768,0.9740162904603856
EarlyFusion,SVM,2,0.99375,0.9937106918238993,0.999905749938481
LateFusion_Avg,SVM,2,0.9875,0.9874124149373872,0.999905749938481
LateFusion_Learned,SVM,2,0.99375,0.9937106918238993,1.0
BulkFormer,XGBoost,2,0.9875,0.987535734705546,0.9998607630186577
CpGPT,XGBoost,2,0.7375,0.7382617933587842,0.9444136716328391
EarlyFusion,XGBoost,2,0.975,0.9751832045949692,0.9996751137102015
LateFusion_Avg,XGBoost,2,0.925,0.9250346603287779,0.997452397524406
LateFusion_Learned,XGBoost,2,1.0,1.0,1.0
BulkFormer,LogReg,3,0.9875,0.9874124149373872,0.9999043245311903
CpGPT,LogReg,3,0.8875,0.8896710482787745,0.9839605578346088
EarlyFusion,LogReg,3,0.99375,0.9937017231134879,0.9999521622655951
LateFusion_Avg,LogReg,3,0.9875,0.9875116713352008,0.9994752103288369
LateFusion_Learned,LogReg,3,0.99375,0.9937017231134879,0.9998086490623804
BulkFormer,SVM,3,0.99375,0.9937017231134879,0.9999043245311903
CpGPT,SVM,3,0.89375,0.8932755418545365,0.9827959734348841
EarlyFusion,SVM,3,0.98125,0.9810916442048517,0.9999043245311903
LateFusion_Avg,SVM,3,0.9875,0.9875116713352008,0.9996651358591656
LateFusion_Learned,SVM,3,0.9875,0.9874124149373872,0.9999043245311903
BulkFormer,XGBoost,3,0.98125,0.9809834190966266,0.9998086490623804
CpGPT,XGBoost,3,0.8375,0.8351505184264107,0.967828117834664
EarlyFusion,XGBoost,3,0.975,0.9746896313562979,0.9994851881798726
LateFusion_Avg,XGBoost,3,0.975,0.9749377980510056,0.998479170350079
LateFusion_Learned,XGBoost,3,0.98125,0.9809834190966266,0.9992402978786848
BulkFormer,LogReg,4,0.975,0.9749547564012974,0.9997636621425571
CpGPT,LogReg,4,0.8875,0.8871489258744161,0.9848992351610838
EarlyFusion,LogReg,4,1.0,1.0,1.0
LateFusion_Avg,LogReg,4,0.975,0.9749502672551137,0.9986790737314434
LateFusion_Learned,LogReg,4,0.98125,0.9812416930433948,0.9995723112049376
BulkFormer,SVM,4,0.98125,0.9813518088767812,0.9998579122040762
CpGPT,SVM,4,0.88125,0.8812346284044398,0.9842857238772399
EarlyFusion,SVM,4,0.99375,0.9937106918238993,1.0
LateFusion_Avg,SVM,4,0.975,0.9749547564012974,0.998589099891797
LateFusion_Learned,SVM,4,0.98125,0.98112759590747,0.9996187235320516
BulkFormer,XGBoost,4,0.975,0.9750648722346836,0.9988211615273674
CpGPT,XGBoost,4,0.8375,0.8363600125364833,0.9708077918997008
EarlyFusion,XGBoost,4,0.96875,0.9685468619430884,0.9992024379953158
LateFusion_Avg,XGBoost,4,0.9625,0.9623695428726876,0.9964677608039745
LateFusion_Learned,XGBoost,4,0.98125,0.98112759590747,0.9975523492150881
