config_A,config_B,mean_diff,p_value
CpGPT__SVM,EarlyFusion__SVM,-0.1126197501131937,0.0625
CpGPT__SVM,EarlyFusion__XGBoost,-0.09375162873045895,0.0625
CpGPT__SVM,EarlyFusion__LogReg,-0.11141123175743162,0.0625
CpGPT__SVM,CpGPT__XGBoost,0.07670250242273513,0.0625
CpGPT__LogReg,LateFusion_Learned__XGBoost,-0.11226749206723508,0.0625
CpGPT__LogReg,LateFusion_Learned__SVM,-0.11605521564184262,0.0625
CpGPT__LogReg,LateFusion_Learned__LogReg,-0.1197679728418557,0.0625
CpGPT__SVM,LateFusion_Avg__LogReg,-0.09775129945340011,0.0625
CpGPT__LogReg,LateFusion_Avg__XGBoost,-0.08979716437900143,0.0625
CpGPT__LogReg,LateFusion_Avg__LogReg,-0.10489966721180388,0.0625
CpGPT__LogReg,EarlyFusion__XGBoost,-0.10089999648886272,0.0625
CpGPT__LogReg,EarlyFusion__SVM,-0.11976811787159747,0.0625
CpGPT__LogReg,EarlyFusion__LogReg,-0.11855959951583539,0.0625
CpGPT__LogReg,CpGPT__XGBoost,0.06955413466433136,0.0625
EarlyFusion__XGBoost,LateFusion_Avg__SVM,-0.01149788866472079,0.0625
CpGPT__LogReg,LateFusion_Avg__SVM,-0.11239788515358351,0.0625
EarlyFusion__LogReg,LateFusion_Avg__XGBoost,0.028762435136833964,0.0625
CpGPT__SVM,LateFusion_Avg__SVM,-0.10524951739517974,0.0625
CpGPT__SVM,LateFusion_Learned__LogReg,-0.11261960508345192,0.0625
EarlyFusion__LogReg,LateFusion_Avg__LogReg,0.013659932304031508,0.0625
EarlyFusion__LogReg,EarlyFusion__XGBoost,0.01765960302697267,0.0625
EarlyFusion__SVM,LateFusion_Avg__XGBoost,0.029970953492596042,0.0625
CpGPT__XGBoost,LateFusion_Learned__XGBoost,-0.18182162673156643,0.0625
CpGPT__XGBoost,LateFusion_Learned__SVM,-0.18560935030617398,0.0625
CpGPT__XGBoost,LateFusion_Learned__LogReg,-0.18932210750618705,0.0625
CpGPT__SVM,LateFusion_Avg__XGBoost,-0.08264879662059765,0.0625
CpGPT__XGBoost,LateFusion_Avg__XGBoost,-0.15935129904333278,0.0625
CpGPT__XGBoost,LateFusion_Avg__LogReg,-0.17445380187613524,0.0625
CpGPT__XGBoost,EarlyFusion__XGBoost,-0.17045413115319408,0.0625
CpGPT__XGBoost,EarlyFusion__SVM,-0.18932225253592883,0.0625
CpGPT__XGBoost,EarlyFusion__LogReg,-0.18811373418016675,0.0625
CpGPT__SVM,LateFusion_Learned__XGBoost,-0.1051191243088313,0.0625
CpGPT__SVM,LateFusion_Learned__SVM,-0.10890684788343885,0.0625
CpGPT__XGBoost,LateFusion_Avg__SVM,-0.18195201981791487,0.0625
BulkFormer__XGBoost,LateFusion_Learned__LogReg,-0.009972112334302508,0.0625
BulkFormer__XGBoost,LateFusion_Learned__SVM,-0.006259355134289435,0.0625
EarlyFusion__XGBoost,LateFusion_Learned__LogReg,-0.018867976352992977,0.0625
LateFusion_Learned__LogReg,LateFusion_Learned__SVM,0.0037127572000130726,0.0625
BulkFormer__LogReg,CpGPT__LogReg,0.1147801456213241,0.0625
BulkFormer__LogReg,CpGPT__SVM,0.10763177786292033,0.0625
BulkFormer__LogReg,CpGPT__XGBoost,0.18433428028565546,0.0625
LateFusion_Avg__XGBoost,LateFusion_Learned__SVM,-0.026258051262841198,0.0625
BulkFormer__LogReg,EarlyFusion__XGBoost,0.013880149132461383,0.0625
LateFusion_Avg__XGBoost,LateFusion_Learned__LogReg,-0.02997080846285427,0.0625
BulkFormer__LogReg,LateFusion_Avg__XGBoost,0.024982981242322677,0.0625
LateFusion_Avg__SVM,LateFusion_Learned__LogReg,-0.007370087688272187,0.0625
LateFusion_Avg__SVM,LateFusion_Avg__XGBoost,0.022600720774582084,0.0625
BulkFormer__SVM,BulkFormer__XGBoost,0.007544572485379097,0.0625
BulkFormer__SVM,CpGPT__LogReg,0.11734043299293229,0.0625
BulkFormer__SVM,CpGPT__SVM,0.11019206523452851,0.0625
LateFusion_Avg__LogReg,LateFusion_Learned__LogReg,-0.014868305630051815,0.0625
BulkFormer__SVM,CpGPT__XGBoost,0.18689456765726364,0.0625
BulkFormer__XGBoost,CpGPT__SVM,0.10264749274914942,0.0625
EarlyFusion__XGBoost,LateFusion_Learned__SVM,-0.015155219152979904,0.0625
BulkFormer__XGBoost,EarlyFusion__XGBoost,0.00889586401869047,0.0625
BulkFormer__XGBoost,EarlyFusion__SVM,-0.009972257364044279,0.0625
BulkFormer__XGBoost,CpGPT__XGBoost,0.17934999517188455,0.0625
BulkFormer__SVM,EarlyFusion__XGBoost,0.016440436504069567,0.0625
BulkFormer__XGBoost,CpGPT__LogReg,0.10979586050755319,0.0625
EarlyFusion__XGBoost,LateFusion_Learned__XGBoost,-0.011367495578372355,0.0625
EarlyFusion__SVM,EarlyFusion__XGBoost,0.018868121382734748,0.0625
BulkFormer__SVM,LateFusion_Avg__XGBoost,0.02754326861393086,0.0625
BulkFormer__SVM,LateFusion_Avg__LogReg,0.012440765781128404,0.0625
LateFusion_Avg__LogReg,LateFusion_Avg__SVM,-0.007498217941779628,0.125
BulkFormer__SVM,LateFusion_Avg__SVM,0.0049425478393487765,0.125
LateFusion_Avg__XGBoost,LateFusion_Learned__XGBoost,-0.02247032768823365,0.125
BulkFormer__XGBoost,LateFusion_Avg__XGBoost,0.019998696128551763,0.125
LateFusion_Avg__LogReg,LateFusion_Avg__XGBoost,0.015102502832802456,0.125
EarlyFusion__SVM,LateFusion_Avg__LogReg,0.014868450659793586,0.125
LateFusion_Avg__LogReg,LateFusion_Learned__SVM,-0.011155548430038742,0.125
BulkFormer__SVM,LateFusion_Learned__XGBoost,0.005072940925697211,0.1875
BulkFormer__LogReg,LateFusion_Avg__LogReg,0.009880478409520221,0.1875
BulkFormer__XGBoost,EarlyFusion__LogReg,-0.008763739008282201,0.1875
EarlyFusion__SVM,LateFusion_Learned__XGBoost,0.007500625804362393,0.1875
LateFusion_Learned__LogReg,LateFusion_Learned__XGBoost,0.0075004807746206215,0.1875
LateFusion_Learned__SVM,LateFusion_Learned__XGBoost,0.003787723574607549,0.25
BulkFormer__SVM,LateFusion_Learned__LogReg,-0.00242753984892341,0.25
BulkFormer__LogReg,LateFusion_Learned__LogReg,-0.004987827220531593,0.25
BulkFormer__LogReg,BulkFormer__XGBoost,0.004984285113770914,0.3125
LateFusion_Avg__SVM,LateFusion_Learned__SVM,-0.003657330488259114,0.3125
BulkFormer__XGBoost,LateFusion_Avg__LogReg,0.004896193295749307,0.3125
BulkFormer__XGBoost,LateFusion_Avg__SVM,-0.002602024646030321,0.3125
EarlyFusion__XGBoost,LateFusion_Avg__LogReg,-0.003999670722941162,0.3125
EarlyFusion__LogReg,LateFusion_Learned__XGBoost,0.006292107448600315,0.3125
BulkFormer__LogReg,BulkFormer__SVM,-0.002560287371608183,0.3125
EarlyFusion__LogReg,LateFusion_Avg__SVM,0.00616171436225188,0.3125
EarlyFusion__SVM,LateFusion_Avg__SVM,0.007370232718013958,0.3125
LateFusion_Avg__LogReg,LateFusion_Learned__XGBoost,-0.007367824855431193,0.4375
BulkFormer__SVM,LateFusion_Learned__SVM,0.0012852173510896625,0.5
EarlyFusion__XGBoost,LateFusion_Avg__XGBoost,0.011102832109861294,0.625
BulkFormer__LogReg,EarlyFusion__SVM,-0.004987972250273365,0.625
BulkFormer__LogReg,LateFusion_Learned__SVM,-0.0012750700205185206,0.625
CpGPT__LogReg,CpGPT__SVM,-0.007148367758403773,0.625
EarlyFusion__SVM,LateFusion_Learned__SVM,0.003712902229754844,0.625
BulkFormer__LogReg,LateFusion_Learned__XGBoost,0.0025126535540890282,0.625
BulkFormer__XGBoost,LateFusion_Learned__XGBoost,-0.002471631559681886,0.75
BulkFormer__SVM,EarlyFusion__LogReg,-0.0012191665229031035,0.875
BulkFormer__SVM,EarlyFusion__SVM,-0.0024276848786651817,0.875
BulkFormer__LogReg,LateFusion_Avg__SVM,0.0023822604677405934,0.875
BulkFormer__LogReg,EarlyFusion__LogReg,-0.0037794538945112865,0.875
EarlyFusion__LogReg,LateFusion_Learned__LogReg,-0.0012083733260203067,0.875
EarlyFusion__LogReg,EarlyFusion__SVM,-0.0012085183557620782,0.875
EarlyFusion__SVM,LateFusion_Learned__LogReg,1.450297417715518e-07,1.0
LateFusion_Avg__SVM,LateFusion_Learned__XGBoost,0.00013039308634843483,1.0
EarlyFusion__LogReg,LateFusion_Learned__SVM,0.002504383873992766,1.0
